nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
ownzone,295,48526,0,0,1,24,164,17270,0,0,0,0,5920
pacific_northwest_territories,0,0,0,0,0,0,10,640,0,0,0,0,0
paleocacher,0,0,0,0,0,0,0,0,1,1689,0,0,0
paleozoica,0,0,0,0,0,0,57,7091,0,0,0,0,0
palium,990,6777,0,0,0,0,51,112,0,0,0,0,19800
paplia,0,0,0,0,0,0,31,5722,0,0,0,0,0
paradeavenlisian_states,0,0,0,0,0,0,41,3435,0,0,0,0,0
parquetrilos,0,0,0,0,0,0,17,132,0,0,0,0,0
pastor_manning,0,0,0,0,0,0,0,0,1,952,0,0,0
patradonia,0,0,0,0,0,0,0,0,1,996,0,0,0
paul_ryan,0,0,0,0,0,0,0,0,1,696,0,0,0
paxmaslana,0,0,0,0,0,0,6,25,0,0,0,0,0
pesto_alla_genovese,0,0,0,0,0,0,163,15241,2,14,0,0,0
pinkacre,0,0,0,0,0,0,2,17,0,0,0,0,0
pirates_o_penzance,0,0,0,0,0,0,1,6,0,0,0,0,0
plifte,0,0,0,0,0,0,133,7328,0,0,0,0,0
podium,0,0,37,6156,0,0,0,0,0,0,0,0,740
porta_caeli,0,0,1,10,0,0,0,0,0,0,0,0,20
pourpre_haven,579,44445,1,467,0,0,220,5220,0,0,0,0,11600
pow,0,0,0,0,0,0,0,0,1,635,0,0,0
proforestation,209,22788,0,0,0,0,151,7554,0,0,0,0,4180
prusmia,637,101632,0,0,0,0,175,21444,0,0,0,0,12740
psuke,145,10037,0,0,1,24,86,5087,0,0,0,0,2920
puppetalia,7,7,0,0,0,0,59,2040,0,0,0,0,140
qassiarsuk,0,0,0,0,0,0,21,1958,0,0,0,0,0
quanion,0,0,0,0,0,0,57,459,0,0,0,0,0
rakavo,0,0,0,0,0,0,58,5450,0,0,0,0,0
ransium,0,0,0,0,0,0,355,76453,2,2,0,0,0
ravens_nation,0,0,0,0,0,0,100,18498,0,0,0,0,0
reannia,0,0,0,0,0,0,62,12180,0,0,0,0,0
reformed_archaria_steppe,0,0,0,0,3,3,2,10,0,0,0,0,60
remusa,0,0,0,0,0,0,19,976,0,0,0,0,0
reporter,0,0,0,0,0,0,27,34,0,0,0,0,0
republik_hintonia,69,3552,0,0,0,0,182,11167,0,0,0,0,1380
rezkhazia,0,0,0,0,0,0,17,383,0,0,0,0,0
rhodevus,168,16913,0,0,1,145,258,41794,2,1350,2,19,3380
rhye,0,0,0,0,0,0,55,172,0,0,0,0,0
rickastley,0,0,0,0,0,0,6,342,0,0,0,0,0
rienhzslhajhrabh,0,0,0,0,0,0,12,275,0,0,0,0,0
rock-*,3025,40497,3,47,0,0,58,83,10,500,0,0,60560
rock_adakite,278,4038,0,0,0,0,4,4,1,32,0,0,5560
